Wavenumber	B4C	Si	SiB6	SiC
1512.826172	0.070934	0.577351	0.321037	371391.7813
1510.257813	0.068177	0.57447	0.323229	369359
1507.689453	0.06575	0.581315	0.322546	367781.9375
1505.121094	0.06382	0.590986	0.321388	364912.625
1502.550781	0.063573	0.589017	0.325952	362355.2813
1499.980469	0.064441	0.589665	0.321422	361281.4688
1497.408203	0.065843	0.586942	0.316867	357421.0938
1494.835938	0.067107	0.587746	0.318255	355854.6875
1492.261719	0.067614	0.584348	0.314931	354365.9063
1489.6875	0.063998	0.587705	0.320005	353693.8438
1487.113281	0.061578	0.593198	0.32343	351749.2188
1484.539063	0.060091	0.595101	0.321698	349598.9688
1481.960938	0.059545	0.593172	0.314557	349616.8125
1479.384766	0.059114	0.593612	0.31424	348368.6563
1476.806641	0.058585	0.588634	0.311518	347416.9688
1474.228516	0.059391	0.589807	0.310644	345049.4063
1471.648438	0.059707	0.591811	0.310117	343355.875
1469.068359	0.059285	0.593308	0.312023	340748.6875
1466.486328	0.062678	0.586556	0.314153	340191.5938
1463.904297	0.065272	0.58115	0.305013	338577.4063
1461.322266	0.067215	0.57935	0.304658	337754.0625
1458.738281	0.066592	0.578732	0.309575	337278.5625
1456.154297	0.064789	0.57594	0.316604	336941.625
1453.570313	0.061196	0.582179	0.3262	334507.2188
